Rest API Error Code
Error message	Error code	http status code
00000	success!	400
40001	ACCESS_KEY cannot be empty	400
40002	ACCESS_SIGN cannot be empty	400
40003	Signature cannot be empty	400
40004	Request timestamp expired	400
40005	Invalid ACCESS_TIMESTAMP	400
40006	Invalid ACCESS_KEY	400
40007	Invalid Content_Type	400
40008	Request timestamp expired	400
40009	sign signature error	400
40010	Request timed out	400
40011	ACCESS_PASSPHRASE cannot be empty	400
40012	apikey/password is incorrect	400
40013	User status is abnormal	400
40014	Incorrect permissions, need {0} permissions	400
40015	System is abnormal, please try again later	400
40016	The user must bind the phone or Google	400
40017	Parameter verification failed {0}	400
00171	Parameter verification failed {0}{1}	400
00172	Parameter verification failed	400
40018	Invalid IP	400
40019	Parameter {0} cannot be empty	400
40020	Parameter {0} error	400
40021	User disable withdraw	400
40022	The business of this account has been restricted	400
40023	The business of this account has been restricted	400
40024	Account has been frozen	400
40025	The business of this account has been restricted	400
40026	User is disabled	400
40027	Withdrawals in this account area must be kyc	400
40028	This subUid does not belong to this account	400
40029	This account is not a Broker, please apply to become a Broker first	400
40031	The account has been cancelled and cannot be used again	400
40032	The Max of sub-account created has reached the limit	400
40033	This email has been bound	400
40034	Parameter {0} does not exist	400
50001	coin {0} does not support cross	400
50002	symbol {0} does not support isolated	400
50003	coin {0} does not support isolated	400
50004	symbol {0} does not support cross	400
40035	Judging from your login information, you are required to complete KYC first for compliance reasons.	400
40036	passphrase is error	400
40037	Apikey does not exist	400
40038	The current ip is not in the apikey ip whitelist	400
40039	FD Broker's user signature error	400
40040	user api key permission setting error	400
40041	User's ApiKey does not exist	400
40043	FD Broker does not exist	400
40045	The bound user cannot be an FD broker	400
40047	FD Broker binding related interface call frequency limit	400
40048	The user's ApiKey must be the parent account	400
40049	User related fields decrypt error	400
40051	This account is not a FD Broker, please apply to become a FD Broker first	400
40052	Security settings have been modified for this account. For the safety of your account, withdrawals are prohibited within 24 hours	400
40053	Value range verification failed: {0} should be between {1}	400
40054	The data fetched by {0} is empty	400
40055	subName must be an English letter with a length of 8	400
40056	remark must be length of 1 ~ 20	400
40057	Parameter {0} {1} does not meet specification	400
40058	Parameter {0} Only a maximum of {1} is allowed	400
40059	Parameter {0} should be less than {1}	400
40060	subNames already exists	400
40061	sub-account not allow access	400
40063	API exceeds the maximum limit added	400
40064	Sub-account creation failed, please check if there is a duplicate	400
40065	This subApikey does not exist	400
40066	This subUid does not belong to the account or is not a virtual sub-account	400
40067	sub-account create failed, please check if there is a duplicate	400
40068	Disable subaccount access	400
40069	The maximum number of sub-accounts created has been reached	400
40070	passphrase 8-32 characters with letters and numbers	400
40071	subName exist duplication	400
40072	symbol {0} is Invalid or not supported mix contract trade	400
40102	Symbol does not exist	400
40109	The data of the order cannot be found, please confirm the order number	400
40200	Server upgrade, please try again later	400
40301	Permission has not been obtained yet. If you need to use it, please contact customer service	400
40303	Can only query up to 20,000 data	400
40304	clientOid or clientOrderId length cannot greater than 50	400
40305	clientOid or clientOrderId length cannot greater than 64, and cannot be Martian characters	400
40306	Batch processing orders can only process up to 20	400
40308	The contract is being temporarily maintained	400
40309	The contract has been removed	400
40400	Status check abnormal	400
40401	The operation cannot be performed	400
40402	orderId or clientOId format error	400
40407	The query direction is not the direction entrusted by the plan	400
40408	Range error	400
40409	wrong format	400
40704	Can only check the data of the last three months	400
40705	The start and end time cannot exceed 90 days	400
40706	Wrong order price	400
40707	Start time is greater than end time	400
40708	client_oid duplicate	400
40709	There is no position in this position, and no automatic margin call can be set	400
40710	Abnormal account status	400
40711	Insufficient contract account balance	400
40712	Insufficient margin	400
40713	Cannot exceed the maximum transferable margin amount	400
40714	No direct margin call is allowed	400
40715	delegate count can not high max of open count	400
40716	This trading pair not support Cross Margin mode	400
40717	The number of closed positions cannot exceed the number of sheets held	400
40718	The entrusted price of Pingduo shall not be lower than the bursting price	400
40719	Flat empty entrustment price is not allowed to be higher than explosion price	400
40720	swap hand depth does not exist	400
40721	Market price list is not allowed at present	400
40722	Due to excessive price fluctuations and the insufficient market price entrusted cost, the opening commission is failed.	400
40723	The total number of unexecuted orders is too high	400
40724	Parameter is empty	400
40725	service return an error	400
40726	Cross margin not support Auto Margin Replenishment (AMR)	400
40727	Cross margin not support margin adjustment	400
40728	You’re log in as trader, please close position for current copy trade orders	400
40729	Failed to adjust the position, the current position or order or plan order	400
40730	There is currently a commission or a planned commission, and the leverage cannot be adjusted	400
40731	This product does not support copy trading	400
40732	Not currently a trader	400
40199	Traders are prohibited from calling the API	400
40733	The order closing has been processed	400
40734	Failed to place an order, the minimum number of traders to open a position {0}	400
40735	Long position take profit price should be greater than the average opening price	400
40736	Long position take profit price is greater than the current price	400
40737	The short position take profit price should be less than the average opening price	400
40738	The short position take profit price should be less than the current price	400
40739	The stop loss price of a long position should be less than the average opening price	400
40740	The stop loss price of a long position should be less than the current price	400
40741	The stop loss price of a short position should be greater than the average opening price	400
40742	The stop loss price of the short position should be greater than the current price	400
40743	The order is being closed and cannot be closed again	400
40744	The tracking order status is wrong	400
40745	This order is being commissioned, and liquidation is not supported temporarily	400
40746	The current maximum number of positions that can be closed is {0}, if you exceed the number, please go to the current order to close the position	400
40747	The bonus is not allowed to hold two-way positions	400
40748	The commission price is higher than the highest bid price	400
40749	The commission price is lower than the lowest selling price	400
40750	The plan commission for this contract has reached the upper limit	400
40751	The contract's stop profit and stop loss order has reached the upper limit	400
40752	You are disabled for current business, if you have any questions, please contact customer service	400
40753	The contract transaction business is disabled, if you have any questions, please contact customer service	400
40754	balance not enough	400
40755	Not enough open positions are available.	400
40756	The balance lock is insufficient.	400
40757	Not enough position is available.	400
40758	The position lock is insufficient.	400
40759	No assets	400
40760	Account abnormal status	400
40761	The total number of unfilled orders is too high	400
40762	The order size is greater than the max open size	400
40763	The number of orders cannot exceed the maximum amount of the corresponding gear	400
40764	The remaining amount of the order is less than the current transaction volume	400
40765	The remaining volume of the position is less than the current transaction volume	400
40766	The number of open orders is less than this transaction volume	400
40767	Position does not exist when opening a position	400
40768	Order does not exist	400
40769	Reject order has been completed	400
40770	The settlement or fee currency configuration was not found.	400
40771	When there is a gap, you cannot have a position closing order.	400
40772	The account does not exist	400
40773	Closed positions can only occur in two-way positions.	400
40774	The order type for unilateral position must also be the unilateral position type.	400
40775	The market-making account can only be a unilateral position type.	400
40776	Error creating order.	400
40777	Cancel order error.	400
40778	Coin pair {0} does not support {1} currency as margin	400
40779	Please check that the correct delegateType is used	400
40780	There are multiple risk handling records for the same symbolId at the same time	400
40781	The transfer order was not found	400
40782	Internal transfer error	400
40783	No gear found	400
40784	Need to configure modify depth account	400
40785	Need to configure draw line account	400
40786	Duplicate clientOid	400
40787	The price step does not match	400
40788	Internal batch transfer error	400
40789	The tokenId is duplicated in the configuration item	400
40790	Duplicate symbolCode in configuration item	400
40791	The baseToken or quoteToken of symbolCode does not exist	400
40792	The symbol in the configuration item is duplicated	400
40793	The symbolCode of BusinessSymbol does not exist	400
40794	The supportMarginToken of BusinessSymbol is not configured	400
40795	The transaction is suspended due to settlement or maintenance reasons	400
40796	The adjusted leverage is not within the appropriate range	400
40797	Exceeded the maximum settable leverage	400
40798	Insufficient contract account balance	400
40799	Cannot be less than the minimum transfer amount	400
40800	Insufficient amount of margin	400
40801	Cannot exceed the maximum transferable deposit amount	400
40802	Position is zero and direct margin call is not allowed	400
40803	The leverage is reduced and the amount of margin call is incorrect	400
40804	The number of closed positions cannot exceed the number of positions held	400
40805	Unsupported operation	400
40806	Unsupported currency	400
40807	The account does not exist	400
40808	Parameter verification exception {0}	400
40809	Execution price parameter verification exception	400
40810	Triggered price parameter verification exception	400
40811	The parameter {0} should not be null	400
40812	The condition {0} is not met	400
40813	The parameter {0} must have a value and cannot be empty	400
40814	No change in leverage	400
40815	The order price is higher than the highest bid price	400
40816	The order price is lower than the lowest selling price	400
40817	The current order status cannot be cancelled	400
40818	The current order type cannot be cancelled	400
40819	The order does not exist!	400
40820	The order price for closing a long position is not allowed to be lower than the liquidation price	400
40821	The closing order price cannot be higher than the liquidation price	400
40822	The contract configuration does not exist	400
40823	The transaction or reasonable marked price does not exist	400
40824	Currently, it is not allowed to list market orders	400
40825	Contract opponent depth does not exist	400
40826	Due to excessive price fluctuations, the market order cost is insufficient, and the position opening order failed.	400
40827	The bonus is not allowed to hold two-way positions	400
40828	Special market making accounts cannot manually place orders	400
40829	The take profit price of a long position should be greater than the average open price	400
40830	The take profit price of the long position should be greater than the current price	400
40831	The short position take profit price should be less than the average open price	400
40832	The take profit price of short positions should be less than the current price	400
40833	The stop loss price of a long position should be less than the average opening price	400
40834	The stop loss price of the long position should be less than the current price	400
40835	The stop loss price of the short position should be greater than the average opening price	400
40836	The stop loss price of the short position should be greater than the current price	400
